"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2000",10,"D013701001",3.78717948717949
"2001",10,"D013701001",2.04294871794872
"2002",10,"D013701001",1.475
"2003",10,"D013701001",0.961538461538461
"2004",10,"D013701001",1.51602564102564
"2005",10,"D013701001",1.4525641025641
"2006",10,"D013701001",1.47692307692308
"2007",10,"D013701001",2.20384615384615
"2008",10,"D013701001",1.34102564102564
"2009",10,"D013701001",1.36794871794872
"2010",10,"D013701001",1.25641025641026
"2011",10,"D013701001",1.04102564102564
"2012",10,"D013701001",1.04487179487179
"2013",10,"D013701001",1.51089743589744
"2014",10,"D013701001",2.59038461538462
"2015",10,"D013701001",1.74166666666667
"2016",10,"D013701001",2.05641025641026
"2017",10,"D013701001",1.57884615384615
"2018",10,"D013701001",1.40576923076923
"2019",10,"D013701001",1.41282051282051
"2020",10,"D013701001",1.6474358974359
"2021",10,"D013701001",2.81474358974359
"2022",10,"D013701001",1.52564102564103
"2023",10,"D013701001",1.98525641025641
"2024",10,"D013701001",2.21089743589744
"2000",10,"D013702001",1.54866920152091
"2001",10,"D013702001",2.40038022813688
"2002",10,"D013702001",1.69049429657795
"2003",10,"D013702001",0.99809885931559
"2004",10,"D013702001",2.23003802281369
"2005",10,"D013702001",1.61596958174905
"2006",10,"D013702001",1.97832699619772
"2007",10,"D013702001",3.30836501901141
"2008",10,"D013702001",3.86996197718631
"2009",10,"D013702001",2.73498098859316
"2010",10,"D013702001",3.90494296577947
"2011",10,"D013702001",1.65513307984791
"2012",10,"D013702001",1.4254752851711
"2013",10,"D013702001",1.26235741444867
"2014",10,"D013702001",1.3425855513308
"2015",10,"D013702001",1.40722433460076
"2016",10,"D013702001",1.65361216730038
"2017",10,"D013702001",0.935361216730038
"2018",10,"D013702001",1.40874524714829
"2019",10,"D013702001",1.64106463878327
"2020",10,"D013702001",1.81901140684411
"2021",10,"D013702001",1.51330798479087
"2022",10,"D013702001",1.06463878326996
"2023",10,"D013702001",1.43536121673004
"2024",10,"D013702001",1.60304182509506
"2000",10,"D013705001",3.22101449275362
"2001",10,"D013705001",3.28260869565217
"2002",10,"D013705001",2.60869565217391
"2003",10,"D013705001",2.56884057971015
"2004",10,"D013705001",2.59420289855073
"2005",10,"D013705001",2.41304347826087
"2006",10,"D013705001",2.29347826086957
"2007",10,"D013705001",2.28260869565217
"2008",10,"D013705001",2.47101449275362
"2009",10,"D013705001",2.53623188405797
"2010",10,"D013705001",2.47826086956522
"2011",10,"D013705001",2.42391304347826
"2012",10,"D013705001",1.70652173913043
"2013",10,"D013705001",1.11594202898551
"2014",10,"D013705001",2.57608695652174
"2015",10,"D013705001",1.15217391304348
"2016",10,"D013705001",1.23550724637681
"2017",10,"D013705001",0.670289855072464
"2018",10,"D013705001",0.789855072463768
"2019",10,"D013705001",1.22101449275362
"2020",10,"D013705001",0.58695652173913
"2021",10,"D013705001",1.97101449275362
"2022",10,"D013705001",1.17391304347826
"2023",10,"D013705001",1.58695652173913
"2024",10,"D013705001",1.65942028985507
"2000",10,"D015651001",1.07513227513228
"2001",10,"D015651001",0.811640211640211
"2002",10,"D015651001",0.756084656084656
"2003",10,"D015651001",0.756084656084656
"2004",10,"D015651001",0.799470899470899
"2005",10,"D015651001",0.795238095238095
"2006",10,"D015651001",1.51428571428571
"2007",10,"D015651001",2.21058201058201
"2008",10,"D015651001",1.95661375661376
"2009",10,"D015651001",2.8984126984127
"2010",10,"D015651001",0.774074074074074
"2011",10,"D015651001",2.47089947089947
"2012",10,"D015651001",2.21322751322751
"2013",10,"D015651001",2.0031746031746
"2014",10,"D015651001",2.18835978835979
"2015",10,"D015651001",1.75714285714286
"2016",10,"D015651001",1.85238095238095
"2017",10,"D015651001",1.66719576719577
"2018",10,"D015651001",1.60582010582011
"2019",10,"D015651001",1.8
"2020",10,"D015651001",1.4031746031746
"2021",10,"D015651001",1.75767195767196
"2022",10,"D015651001",1.51216931216931
"2023",10,"D015651001",1.57619047619048
"2024",10,"D015651001",1.47566137566138
"2000",10,"D015652001",2.1834375
"2001",10,"D015652001",1.6378125
"2002",10,"D015652001",1.1453125
"2003",10,"D015652001",0.7509375
"2004",10,"D015652001",1.23125
"2005",10,"D015652001",0.9540625
"2006",10,"D015652001",1.518125
"2007",10,"D015652001",2.206875
"2008",10,"D015652001",1.9390625
"2009",10,"D015652001",1.6525
"2010",10,"D015652001",1.4221875
"2011",10,"D015652001",1.665
"2012",10,"D015652001",1.9828125
"2013",10,"D015652001",1.8521875
"2014",10,"D015652001",1.43875
"2015",10,"D015652001",1.398125
"2016",10,"D015652001",1.599375
"2017",10,"D015652001",0.9815625
"2018",10,"D015652001",1.27875
"2019",10,"D015652001",1.13125
